Date,Description,Balance (SAR)
01/06/26,"حوالة محلية صادرة المستفيد شركة مجموعة بيت العرب الحديثة الم/1 حساب المستفيد SA4180000577608010011206 عنوان - -2 الى مصرف الراجحي الغرض  مصاريف تشغيلية 1.0 @ SAR مبلغ 338,826.00 العمولة 0 ريال SAR رسوم 8.05 من خلا ل بنك الجزيرة مستخدما القنوات الرقمية للشركات-جدة التاريخ 15-12-1447(ه) وقت 12.02.27 مرجع العملية ECOF60601H000259BJAZBPS261525334",-338833.00
01/06/26,"ضريبة القيمة المضافة على حوالة محلية صادرة عبر القنوات الرقمية للشركات-جدة التاريخ 15-12-1447(ه) وقت 12.02.27 ECOF60601Hمرجع العملية 000259 فى بنك الجزيرة سعر الصرف 1.0",-1.05
02/06/26,"حوالة محلية صادرة المستفيد شركة مجموعة بيت العرب الحديثة الم/1 حساب المستفيد SA4180000577608010011206 عنوان - -2 الى مصرف الراجحي الغرض  مصاريف تشغيلية 1.0 @ SAR مبلغ 401,550.32 العمولة 0 ريال SAR رسوم 8.05 من خلا ل بنك الجزيرة مستخدما القنوات الرقمية للشركات-جدة التاريخ 16-12-1447(ه) وقت 10.06.30 مرجع العملية ECOF60602H000167BJAZBPS261536109",-401557.32
02/06/26,"ضريبة القيمة المضافة على حوالة محلية صادرة عبر القنوات الرقمية للشركات-جدة التاريخ 16-12-1447(ه) وقت 10.06.30 ECOF60602Hمرجع العملية 000167 فى بنك الجزيرة سعر الصرف 1.0",-1.05
03/06/26,"حوالة محلية صادرة المستفيد شركة مجموعة بيت العرب الحديثة الم/1 حساب المستفيد SA4180000577608010011206 عنوان - -2 الى مصرف الراجحي الغرض  مصاريف تشغيلية 1.0 @ SAR مبلغ 711,914.00 العمولة 0 ريال SAR رسوم 8.05 من خلا ل بنك الجزيرة مستخدما القنوات الرقمية للشركات-جدة التاريخ 17-12-1447(ه) وقت 10.22.06 مرجع العملية ECOF60603H000185BJAZBPS261547050",-711921.00
03/06/26,"ضريبة القيمة المضافة على حوالة محلية صادرة عبر القنوات الرقمية للشركات-جدة التاريخ 17-12-1447(ه) وقت 10.22.06 ECOF60603Hمرجع العملية 000185 فى بنك الجزيرة سعر الصرف 1.0",-1.05
04/06/26,"حوالة محلية صادرة المستفيد شركة مجموعة بيت العرب الحديثة الم/1 حساب المستفيد SA4180000577608010011206 عنوان - -2 الى مصرف الراجحي الغرض  مصاريف تشغيلية 1.0 @ SAR مبلغ 1,604,406.00 العمولة 0 ريال SAR رسوم 8.05 من خلا ل بنك الجزيرة مستخدما القنوات الرقمية للشركات-جدة التاريخ 18-12-1447(ه) وقت 10.48.01 مرجع العملية ECOF60604H000216BJAZBPS261558057",-1604413.00
04/06/26,"ضريبة القيمة المضافة على حوالة محلية صادرة عبر القنوات الرقمية للشركات-جدة التاريخ 18-12-1447(ه) وقت 10.48.01 ECOF60604Hمرجع العملية 000216 فى بنك الجزيرة سعر الصرف 1.0",-1.05
07/06/26,"حوالة محلية صادرة المستفيد شركة مجموعة بيت العرب الحديثة المحد حساب المستفيد SA4180000577608010011206 Riyadh عنوان الى مصرف الراجحي بين الحسابات OTHER  الغرض 1.0 @ SAR مبلغ 2,083,000.00 العمولة 0 ريال SAR رسوم 0.00 فى بنك الجزيرة فرع التحلية - جدة التاريخ 21-12-1447(ه) وقت 11.28.30 مرجع العملية TAHM60607C000005BJAZBPS261589593",-2083000.00
07/06/26,"مدفوعات نظام سداد اسم المفوتر مصلحة الزكاة والدخل الفاتورة/الا شتراك 3101177709253062 مرجع سداد 6807056821 من خلا ل بنك الجزيرة فرع التحلية - جدة التاريخ 21-12-1447(ه) وقت 12.15.02 TAHMمرجع العملية 260607000042",-5639486.87
08/06/26,"حوالة محلية صادرة المستفيد شركة مجموعة بيت العرب الحديثة المحد حساب المستفيد SA4180000577608010011206 Riyadh عنوان الى مصرف الراجحي تحويل بين الحسابات OTHER  الغرض 1.0 @ SAR مبلغ 1,586,000.00 العمولة 0 ريال SAR رسوم 0.00 فى بنك الجزيرة فرع التحلية - جدة التاريخ 22-12-1447(ه) وقت 11.19.13 مرجع العملية TAHM60608C000005BJAZBPS261590519",-1586000.00
30/06/26,"استحقاق وكاله من خلا ل بنك الجزيرة وحدة العمليات المركزية - جدة سعر الصرف 1.00 التاريخ 15-01-1448(ه) وقت 20.31.18 مرجع العملية 20260630203118979 (تاريخ الا ستحقاق 15-01-1448(ه",4604.52
